Concurso	Bola1	Bola2	Bola3	Bola4	Bola5
1150	4	30	33	39	47
1151	23	30	54	57	67
1152	8	25	26	47	78
1153	29	60	61	77	79
1154	12	21	42	54	56
1155	3	18	21	53	66
1156	24	38	44	50	57
1157	7	10	28	62	78
1158	18	34	36	41	69
1159	10	24	41	56	61
1160	8	39	62	76	78
1161	6	10	17	19	44
1162	11	26	30	61	80
1163	12	25	26	33	70
1164	12	52	54	72	79
1165	40	41	52	71	72
1166	7	24	54	60	64
1167	14	17	28	39	66
1168	1	15	31	58	74
1169	14	15	20	43	44
1170	9	10	15	54	79
1171	4	7	28	29	78
1172	1	33	47	60	64
1173	13	18	40	52	70
1174	45	58	71	73	79
1175	20	23	40	42	47
1176	8	10	31	32	61
1177	29	35	38	43	75
1178	1	56	60	68	80
1179	15	52	66	71	78
1180	3	16	19	22	38
1181	7	21	42	43	60
1182	3	6	8	36	66
1183	21	42	52	66	79
1184	2	21	34	47	60
1185	18	38	40	68	72
1186	21	26	42	50	54
1187	5	15	18	55	78
1188	4	14	72	73	74
1189	4	17	21	39	76
1190	19	40	44	71	73
1191	6	27	40	46	71
1192	3	18	70	79	80
1193	7	9	70	73	74
1194	4	15	46	54	59
1195	7	22	47	61	64
1196	12	14	38	61	62
1197	5	21	43	51	66
1198	9	13	28	48	80
1199	24	26	32	40	56
1200	16	30	42	58	65
1201	10	13	42	60	61
1202	31	38	62	73	76
1203	9	34	39	42	75
1204	5	7	30	49	62
1205	17	30	37	44	77
1206	3	9	33	37	40
1207	11	25	43	61	71
1208	8	14	53	67	69
1209	24	36	43	73	75
1210	11	29	31	49	51
1211	19	40	52	65	78
1212	14	32	52	72	75
1213	7	24	41	52	77
1214	1	7	40	42	47
1215	19	22	32	65	71
1216	38	43	44	48	77
1217	7	12	19	58	72
1218	10	21	29	54	78
1219	9	19	34	55	60
1220	37	39	44	59	75
1221	3	15	52	66	76
1222	26	33	46	58	79
1223	16	42	51	61	66
1224	10	13	18	78	79
1225	6	25	35	38	40
1226	14	18	25	35	66
1227	45	53	68	73	77
1228	28	31	40	52	55
1229	30	35	40	50	67
1230	2	49	51	68	80
1231	16	44	49	50	53
1232	38	49	58	66	70
1233	4	31	35	45	72
1234	5	33	39	44	52
1235	5	27	53	69	72
1236	31	32	52	53	54
1237	19	21	49	53	76
1238	6	16	33	36	47
1239	60	62	64	65	68
1240	19	26	30	43	46
1241	12	24	28	37	71
1242	8	13	24	26	34
1243	29	39	59	60	65
1244	4	10	44	63	76
1245	4	20	53	59	70
1246	18	22	44	63	75
1247	14	16	26	29	47
1248	4	5	19	29	41
1249	8	34	35	51	79
1250	4	5	10	68	77
1251	35	51	52	71	77
1252	1	8	34	56	80
1253	3	35	44	65	77
1254	16	30	31	55	69
1255	4	31	57	68	76
1256	5	7	11	29	41
1257	15	30	43	63	64
1258	16	28	33	57	64
1259	14	16	38	46	50
1260	4	13	32	33	51
1261	4	25	45	62	78
1262	22	23	25	36	39
1263	8	19	39	70	80
1264	2	17	20	54	71
1265	11	21	28	38	64
1266	17	18	49	50	63
1267	21	26	39	66	76
1268	30	37	48	57	76
1269	13	19	38	39	49
1270	4	25	36	46	63
1271	1	19	34	39	68
1272	5	13	14	64	68
1273	15	26	31	41	56
1274	42	43	60	62	80
1275	19	38	47	49	74
1276	3	14	24	33	75
1277	13	18	29	30	44
1278	9	15	33	40	74
1279	6	18	24	39	70
1280	11	13	24	29	48
1281	27	39	50	74	76
1282	46	65	67	69	70
1283	15	21	29	40	52
1284	4	9	44	45	77
1285	19	34	58	60	72
1286	41	43	49	56	58
1287	12	34	35	44	63
1288	1	4	23	65	74
1289	37	61	68	71	76
1290	52	53	61	66	78
1291	17	46	53	58	63
1292	15	26	32	56	60
1293	5	36	75	77	78
1294	8	9	42	55	57
1295	2	22	24	56	78
1296	6	7	36	49	54
1297	29	33	51	56	58
1298	12	24	60	66	77
1299	33	50	52	73	79
1300	16	34	38	54	65
1301	53	55	63	64	75
1302	7	10	15	26	77
1303	5	9	39	49	69
1304	4	5	27	64	72
1305	7	8	18	25	35
1306	29	34	40	45	47
1307	9	16	36	48	67
1308	15	47	71	72	74
1309	5	28	36	39	80
1310	15	20	31	35	69
1311	34	38	52	65	74
1312	12	22	31	36	47
1313	14	27	39	41	49
1314	10	38	47	68	76
1315	5	33	38	51	65
1316	39	42	51	70	71
1317	5	29	39	66	68
1318	5	10	39	66	78
1319	18	24	32	37	39
1320	9	33	37	61	69
1321	18	34	39	65	66
1322	16	28	43	47	68
1323	19	31	52	55	75
1324	3	34	47	48	71
1325	20	22	25	27	73
1326	24	44	58	67	77
1327	7	18	44	57	61
1328	4	14	47	70	73
1329	21	25	59	74	80
1330	22	45	52	56	71
1331	27	30	38	40	46
1332	19	21	25	44	71
1333	14	23	46	70	75
1334	12	22	49	50	63
1335	13	32	69	76	79
1336	1	5	26	41	67
1337	19	21	36	58	79
1338	9	15	19	45	75
1339	22	26	27	41	79
1340	12	27	48	66	67
1341	13	15	33	41	48
1342	21	35	61	69	80
1343	18	21	30	34	66
1344	32	47	73	79	80
1345	22	35	54	61	66
1346	11	13	28	32	58
1347	18	30	37	45	70
1348	4	30	52	64	72
1349	3	35	45	49	76
1350	18	28	53	64	69
1351	8	12	36	43	48
1352	9	11	40	52	79
1353	4	16	42	45	58
1354	4	14	22	40	53
1355	4	13	30	32	55
1356	5	41	42	54	72
1357	15	16	59	68	78
1358	16	24	44	72	78
1359	12	26	50	60	74
1360	5	9	51	53	58
1361	12	39	46	73	77
1362	20	43	54	63	72
1363	31	53	54	62	73
1364	6	35	37	42	56
1365	11	12	32	53	59
1366	6	59	61	76	80
1367	23	37	56	71	77
1368	38	59	69	70	71
1369	12	13	17	19	67
1370	2	38	47	57	63
1371	5	20	52	64	74
1372	14	19	21	54	78
1373	21	47	66	67	78
1374	32	60	62	64	77
1375	6	26	27	68	70
1376	35	42	45	63	78
1377	6	7	15	60	67
1378	19	39	54	55	61
1379	33	46	50	66	76
1380	39	50	55	76	78
1381	5	24	28	31	45
1382	7	9	22	53	64
1383	48	56	59	62	80
1384	22	29	33	59	60
1385	11	39	43	48	62
1386	18	33	44	49	69
1387	42	69	73	78	80
1388	6	39	48	52	57
1389	11	40	68	72	74
1390	17	19	42	43	64
1391	21	28	39	67	76
1392	9	48	57	71	76
1393	2	17	51	67	74
1394	2	52	57	64	78
1395	4	14	31	34	70
1396	4	16	24	72	73
1397	13	21	30	38	58
1398	43	51	60	67	77
1399	8	16	26	27	43
1400	41	45	52	74	80
1401	5	18	38	41	63
1402	42	43	47	72	76
1403	4	17	69	70	74
1404	5	52	63	66	70
1405	4	9	43	67	68
1406	9	16	24	69	70
1407	1	28	30	64	72
1408	19	21	23	38	45
1409	12	48	50	65	79
1410	5	32	35	37	74
1411	1	11	13	16	20
1412	5	19	74	77	78
1413	29	31	54	56	61
1414	22	26	44	56	78
1415	17	19	30	42	73
1416	2	34	54	60	72
1417	8	36	46	65	78
1418	23	29	35	52	75
1419	11	46	49	64	69
1420	4	59	61	69	71
1421	13	52	54	61	70
1422	3	8	10	14	63
1423	12	14	23	49	63
1424	3	21	32	54	66
1425	1	11	18	29	76
1426	3	38	44	46	73
1427	26	38	40	48	79
1428	4	70	73	76	80
1429	29	36	47	70	77
1430	14	26	43	51	76
1431	4	8	35	48	69
1432	15	23	25	30	37
1433	4	31	58	65	66
1434	4	13	16	35	67
1435	4	15	17	56	59
1436	3	53	54	60	62
1437	3	12	26	54	62
1438	5	15	30	68	79
1439	13	15	31	39	63
1440	10	16	18	52	59
1441	3	11	49	53	61
1442	11	42	45	73	77
1443	9	19	21	38	58
1444	29	51	62	69	75
1445	13	18	41	54	77
1446	2	10	27	52	73
1447	4	11	14	15	33
1448	20	29	41	69	77
1449	3	13	21	24	67
1450	11	14	55	58	74
1451	2	13	53	66	79
1452	1	4	15	23	37
1453	1	23	38	59	70
1454	6	30	51	53	69
1455	28	46	59	67	68
1456	8	10	17	68	76
1457	14	21	22	59	73
1458	13	23	39	40	48
1459	14	40	52	63	71
1460	2	13	32	48	51
1461	6	27	49	61	75
1462	2	45	46	48	55
1463	18	30	46	47	76
1464	10	39	40	55	71
1465	12	14	46	58	71
1466	13	15	19	41	72
1467	10	15	16	62	69
1468	17	25	43	47	65
1469	30	33	46	52	58
1470	4	40	44	67	70
1471	24	25	45	57	63
1472	25	35	51	53	57
1473	15	17	24	54	74
1474	3	6	25	40	54
1475	7	13	21	47	63
1476	1	6	37	60	75
1477	54	58	70	76	80
1478	10	22	30	55	75
1479	9	13	14	19	32
1480	1	20	37	73	79
1481	1	8	29	55	74
1482	8	13	27	44	79
1483	16	19	24	54	74
1484	21	39	40	47	59
1485	35	36	47	49	69
1486	41	51	53	56	64
1487	10	14	22	73	80
1488	11	13	28	30	54
1489	5	16	27	35	40
1490	8	18	31	60	70
1491	12	23	65	68	74
1492	6	39	42	59	74
1493	11	14	28	45	49
1494	4	12	27	36	44
1495	1	8	21	31	58
1496	8	18	41	42	75
1497	10	15	22	28	31
1498	6	8	41	48	76
1499	1	9	26	35	78
1500	30	43	52	65	74
1501	16	48	52	72	73
1502	31	45	46	65	74
1503	11	25	32	39	47
1504	1	6	38	45	79
1505	2	10	70	71	77
1506	42	46	64	67	71
1507	18	24	32	51	59
1508	3	11	19	63	67
1509	7	47	49	60	78
1510	15	37	54	69	71
1511	21	26	49	75	79
1512	3	7	36	38	57
1513	1	11	29	62	71
1514	5	21	25	32	41
1515	9	45	49	63	75
1516	14	26	38	59	69
1517	48	51	62	72	79
1518	4	15	17	25	64
1519	3	17	39	57	64
1520	35	46	67	77	79
1521	22	37	43	53	63
1522	8	11	23	59	64
1523	14	17	28	32	71
1524	21	22	48	50	80
1525	7	31	32	67	70
1526	4	32	46	48	65
1527	6	35	52	64	73
1528	10	36	52	63	68
1529	23	41	47	48	55
1530	20	39	47	71	79
1531	34	41	44	60	72
1532	36	39	43	59	65
1533	24	34	37	44	45
1534	33	35	50	54	60
1535	22	27	69	76	80
1536	53	58	61	74	78
1537	1	24	34	36	74
1538	2	26	31	41	57
1539	16	23	36	51	72
1540	3	30	45	57	66
1541	1	15	33	53	68
1542	26	29	69	72	79
1543	4	22	57	60	62
1544	1	8	37	51	73
1545	8	16	24	39	73
1546	9	38	44	73	79
1547	34	36	43	51	54
1548	10	22	39	69	74
1549	19	51	60	64	71
1550	15	38	45	47	53
1551	10	34	39	62	76
1552	6	22	43	50	61
1553	16	35	52	76	77
1554	10	17	34	37	64
1555	31	59	64	65	67
1556	18	25	50	51	55
1557	12	47	51	55	73
1558	13	17	54	64	79
1559	7	39	48	66	79
1560	21	23	42	52	56
1561	1	10	36	64	71
1562	16	50	53	60	72
1563	4	24	36	43	50
1564	24	28	50	58	68
1565	9	20	55	70	79
1566	16	19	27	62	69
1567	13	46	52	56	78
1568	5	25	27	29	63
1569	21	46	50	60	67
1570	32	44	53	67	72
1571	40	47	51	58	72
1572	13	43	45	74	76
1573	8	37	47	58	64
1574	16	17	55	78	79
1575	41	42	49	68	73
1576	1	26	42	59	75
1577	10	13	25	56	67
1578	1	6	9	17	27
1579	3	61	69	76	77
1580	9	16	39	47	75
1581	12	14	30	42	70
1582	34	37	52	60	66
1583	1	29	51	54	57
1584	12	40	64	65	69
1585	1	5	15	28	37
1586	4	13	17	28	72
1587	4	6	23	30	54
1588	23	36	56	57	70
1589	7	14	17	47	56
1590	12	18	28	45	73
1591	10	32	33	51	53
1592	4	37	45	55	65
1593	40	43	50	56	63
1594	6	34	57	61	79
1595	31	41	45	52	64
1596	3	26	44	49	54
1597	7	29	45	53	78
1598	8	32	44	46	67
1599	13	36	41	71	80
1600	21	33	36	56	61
1601	20	42	49	79	80
1602	4	30	49	64	73
1603	5	45	51	56	77
1604	21	24	36	40	71
1605	11	12	33	36	78
1606	25	57	64	76	77
1607	3	32	40	50	68
1608	13	28	29	47	77
1609	30	35	40	43	79
1610	18	46	48	61	69
1611	4	8	16	40	50
1612	4	37	38	59	63
1613	1	9	36	44	50
1614	9	10	22	49	52
1615	6	33	38	49	58
1616	6	12	35	41	58
1617	11	21	52	63	70
1618	11	43	48	57	67
1619	6	26	65	70	74
1620	32	34	41	45	57
1621	4	5	15	66	79
1622	16	39	44	68	73
1623	6	9	23	44	78
1624	9	26	32	61	63
1625	40	48	62	71	75
1626	8	36	46	49	60
1627	6	7	50	51	70
1628	11	28	49	56	79
1629	10	13	33	34	74
1630	9	19	32	34	35
1631	24	28	35	46	61
1632	21	25	38	42	60
1633	18	20	46	57	77
1634	39	41	42	57	73
1635	6	18	22	50	52
1636	27	29	37	50	57
1637	17	41	46	57	71
1638	21	48	62	71	79
1639	7	14	25	38	68
1640	10	20	50	64	67
1641	18	19	23	34	67
1642	15	17	57	73	74
1643	9	14	36	58	70
1644	33	55	59	66	76
1645	1	8	26	65	69
1646	30	40	42	52	76
1647	2	48	55	71	74
1648	35	36	43	64	72
1649	1	16	18	21	36
1650	1	10	44	68	77
1651	5	26	45	57	61
1652	6	8	30	47	71
1653	5	9	46	50	54
1654	15	50	51	58	65
1655	8	28	33	54	56
1656	16	25	27	76	80
1657	10	11	13	31	38
1658	37	46	55	56	74
1659	35	40	47	49	53
1660	48	63	66	70	73
1661	6	9	47	49	77
1662	6	45	57	59	70
1663	5	12	28	68	71
1664	20	26	46	58	80
1665	1	60	61	62	71
1666	29	47	51	52	73
1667	2	10	34	43	66
1668	12	31	59	71	77
1669	16	46	49	53	63
1670	21	24	60	76	77
1671	5	11	15	34	35
1672	15	53	55	63	79
1673	30	33	45	58	77
1674	3	4	18	33	80
1675	22	23	32	50	70
1676	37	44	49	53	60
1677	41	44	52	59	77
1678	6	12	30	62	72
1679	3	14	16	22	52
1680	21	38	60	67	79
1681	1	27	32	56	71
1682	1	4	36	47	65
1683	18	22	28	47	54
1684	1	6	44	52	80
1685	5	8	17	34	71
1686	10	23	26	37	53
1687	33	49	55	69	76
1688	4	5	6	14	27
1689	1	15	24	42	72
1690	8	9	46	64	65
1691	8	34	36	65	74
1692	7	31	38	39	52
1693	3	33	41	53	59
1694	23	24	33	52	62
1695	6	32	33	39	75
1696	27	28	29	34	79
1697	12	16	66	78	79
1698	33	39	49	53	71
1699	3	20	29	39	74
1700	11	20	26	47	65
1701	15	30	49	64	72
1702	14	22	52	78	80
1703	9	35	36	40	63
1704	8	24	29	54	70
1705	21	34	49	50	54
1706	7	11	19	29	39
1707	13	26	28	37	67
1708	12	33	64	68	70
1709	6	58	61	63	79
1710	15	19	51	63	72
1711	9	11	32	62	79
1712	12	27	31	34	55
1713	4	30	55	62	71
1714	1	11	17	18	37
1715	33	46	49	54	56
1716	8	29	59	65	80
1717	12	16	17	25	50
1718	27	43	44	56	59
1719	29	50	58	77	78
1720	2	6	15	34	36
1721	8	19	38	42	79
1722	45	46	47	54	65
1723	3	9	27	50	53
1724	31	34	37	39	45
1725	26	39	41	42	74
1726	19	22	26	57	64
1727	12	15	42	58	78
1728	26	29	42	47	68
1729	28	38	52	59	71
1730	8	12	29	62	65
1731	14	31	38	49	73
1732	16	42	49	51	75
1733	9	22	62	63	72
1734	12	40	60	69	77
1735	1	8	32	65	67
1736	12	42	46	49	80
1737	9	24	27	30	68
1738	33	34	71	74	79
1739	16	38	44	76	78
1740	9	35	43	49	78
1741	24	36	44	45	46
1742	8	54	57	64	66
1743	2	16	64	69	77
1744	2	22	31	64	75
1745	22	25	56	76	80
1746	5	9	24	48	77
1747	1	13	27	59	71
1748	37	47	52	72	79
1749	42	60	62	66	75
1750	22	31	34	73	74
1751	16	21	37	38	60
1752	5	12	32	44	54
1753	19	21	55	60	62
1754	6	19	21	27	58
1755	17	37	53	69	80
1756	10	33	42	49	70
1757	2	14	47	53	78
1758	11	38	40	41	78
1759	9	14	56	68	79
1760	27	34	46	55	70
1761	1	13	45	55	58
1762	2	20	30	45	74
1763	3	9	24	33	60
1764	1	10	47	73	75
1765	4	10	26	36	80
1766	5	25	27	62	71
1767	9	39	60	74	79
1768	28	33	42	62	63
1769	20	24	45	56	61
1770	10	21	22	25	63
1771	28	39	42	59	78
1772	11	19	38	48	54
1773	20	26	57	61	63
1774	16	19	34	38	55
1775	12	49	55	67	80
1776	7	21	32	36	52
1777	1	27	44	56	74
1778	26	41	46	55	67
1779	21	31	45	48	55
1780	28	33	42	48	76
1781	2	25	43	53	64
1782	5	21	22	62	77
1783	5	8	35	55	70
1784	26	29	51	59	62
1785	22	32	60	68	72
1786	26	45	69	77	80
1787	33	39	51	56	72
1788	5	16	41	53	68
1789	9	22	26	34	78
1790	2	15	20	32	34
1791	40	42	51	52	66
1792	14	39	41	66	75
1793	15	16	41	42	55
1794	1	10	23	41	76
1795	3	26	47	61	72
1796	34	35	40	48	49
1797	22	29	64	66	70
1798	12	28	45	56	59
1799	27	39	55	71	75
1800	22	32	44	65	74
1801	4	7	25	35	52
1802	26	47	59	64	70
1803	48	53	62	67	77
1804	18	25	28	51	69
1805	12	21	52	60	63
1806	13	25	52	55	71
1807	4	28	51	58	76
1808	3	19	25	29	58
1809	24	25	40	56	75
1810	22	38	40	48	78
1811	30	37	38	45	61
1812	2	4	26	67	80
1813	7	16	21	28	77
1814	3	20	31	37	62
1815	15	18	56	61	68
1816	8	34	37	55	73
1817	20	21	47	57	60
1818	8	16	39	63	71
1819	12	32	51	77	80
1820	9	38	48	68	80
1821	22	29	35	47	76
1822	2	8	50	62	64
1823	19	43	57	58	66
1824	5	10	46	58	80
1825	14	36	49	59	68
1826	9	10	13	23	68
1827	2	29	38	58	63
1828	5	16	30	47	73
1829	23	31	38	51	58
1830	8	41	64	66	68
1831	2	25	29	48	61
1832	1	28	30	42	68
1833	6	10	44	48	57
1834	4	19	35	42	49
1835	8	21	29	58	62
1836	12	13	29	35	65
1837	12	14	27	41	72
1838	5	21	61	79	80
1839	10	33	41	45	78
1840	10	12	38	52	75
1841	13	16	31	35	51
1842	2	13	31	56	71
1843	8	16	23	26	55
1844	9	20	21	39	65
1845	8	9	37	38	40
1846	14	24	37	39	76
1847	17	18	36	37	40
1848	15	24	30	44	77
1849	16	54	61	75	80
1850	18	39	49	55	80
1851	6	23	36	66	69
1852	8	21	38	61	67
1853	32	53	67	69	71
1854	8	38	50	60	67
1855	2	23	67	74	77
1856	1	2	11	42	44
1857	35	44	51	59	67
1858	17	18	27	68	80
1859	4	14	49	58	79
1860	39	41	48	71	79
1861	28	38	43	60	79
1862	4	24	28	39	61
1863	6	21	26	64	75
1864	7	13	42	56	69
1865	8	26	38	56	58
1866	14	15	54	68	75
1867	35	41	57	64	66
1868	23	38	49	51	71
1869	8	20	33	41	44
1870	20	42	56	75	76
1871	14	41	51	73	80
1872	7	32	49	60	75
1873	3	7	54	59	63
1874	22	25	28	72	77
1875	3	16	21	67	78
1876	17	28	51	56	75
1877	13	40	65	69	77
1878	2	43	59	68	75
1879	18	20	25	35	62
1880	16	26	29	32	74
1881	6	8	15	42	59
1882	12	14	36	64	80
1883	17	42	55	70	79
1884	27	38	59	67	75
1885	10	17	18	28	31
1886	9	40	50	52	58
1887	16	17	45	50	62
1888	28	31	47	51	59
1889	14	23	54	58	80
1890	27	43	45	49	69
1891	16	33	54	56	59
1892	20	32	46	48	62
1893	24	29	46	74	76
1894	8	15	43	53	72
1895	12	17	54	58	67
1896	3	24	43	47	63
1897	22	29	72	78	79
1898	11	38	42	46	74
1899	8	35	42	54	57
1900	22	34	35	48	80
1901	7	17	26	41	63
1902	2	13	16	59	61
1903	15	23	29	53	64
1904	5	34	61	67	77
1905	27	38	45	72	78
1906	1	2	4	41	72
1907	34	40	65	66	76
1908	7	13	25	61	78
1909	5	14	32	55	56
1910	1	35	36	44	67
1911	10	27	54	59	75
1912	42	43	65	66	70
1913	5	16	50	51	57
1914	32	36	41	51	76
1915	14	22	45	64	72
1916	38	42	57	62	68
1917	22	49	59	66	76
1918	4	8	37	44	50
1919	4	39	46	68	71
1920	8	10	22	66	76
1921	23	60	62	68	80
1922	47	51	58	60	76
1923	10	34	37	74	77
1924	24	40	42	52	74
1925	4	39	50	62	76
1926	2	20	23	43	51
1927	12	28	29	34	71
1928	26	28	51	64	74
1929	20	48	60	73	77
1930	8	39	48	71	75
1931	17	42	48	54	68
1932	14	27	32	51	58
1933	9	40	60	61	67
1934	22	38	40	63	66
1935	7	8	59	64	65
1936	15	21	22	34	79
1937	2	13	50	71	80
1938	12	20	22	42	79
1939	9	13	35	45	70
1940	27	42	56	63	65
1941	7	8	9	50	75
1942	36	44	45	60	66
1943	12	30	46	54	56
1944	29	46	52	55	73
1945	16	28	33	57	61
1946	16	23	26	55	59
1947	10	14	62	63	75
1948	16	18	42	54	61
1949	47	51	54	56	80
1950	7	18	49	53	71
1951	1	9	29	75	76
1952	11	13	44	52	80
1953	5	24	43	63	75
1954	3	14	18	67	73
1955	27	28	55	59	71
1956	37	43	51	68	72
1957	20	22	30	39	53
1958	32	44	49	73	77
1959	3	6	33	47	60
1960	9	13	15	28	59
1961	10	27	32	33	42
1962	19	21	43	72	79
1963	7	11	30	36	52
1964	1	5	11	72	76
1965	7	19	23	31	37
1966	8	10	19	20	32
1967	2	27	29	35	78
1968	3	15	24	65	75
1969	5	16	26	60	80
1970	4	29	40	50	55
1971	13	19	23	30	32
1972	11	29	31	38	52
1973	36	53	56	62	71
1974	14	49	54	57	76
1975	7	31	66	75	78
1976	19	49	51	63	78
1977	5	29	42	44	76
1978	21	24	37	57	60
1979	10	30	35	37	65
1980	8	37	43	45	68
1981	6	24	68	74	80
1982	7	24	26	50	66
1983	24	26	38	47	80
1984	5	31	33	53	73
1985	27	29	67	69	74
1986	3	12	52	54	67
1987	28	34	65	66	70
1988	15	42	46	50	76
1989	3	15	40	69	80
1990	24	27	43	63	80
1991	3	4	53	58	66
1992	9	23	33	40	42
1993	4	21	26	35	57
1994	9	25	32	40	69
1995	3	31	50	75	79
1996	8	11	22	56	65
1997	8	18	30	44	70
1998	1	15	16	70	73
1999	2	18	41	45	46
2000	5	29	59	62	72
2001	11	13	26	64	66
2002	8	15	19	44	56
2003	6	32	41	52	53
2004	11	27	69	75	76
2005	10	30	60	71	78
2006	2	10	14	55	77
2007	1	4	13	22	72
2008	1	38	41	44	70
2009	21	30	54	66	71
2010	23	42	53	64	74
2011	7	22	42	45	49
2012	13	14	25	58	70
2013	11	18	26	27	66
2014	3	24	35	56	62
2015	8	10	44	61	71
2016	12	40	49	56	76
2017	21	26	32	39	51
2018	27	37	46	67	70
2019	3	10	35	45	47
2020	10	12	19	20	34
2021	31	34	55	58	67
2022	33	35	56	60	74
2023	4	15	28	43	80
2024	19	36	39	42	53
2025	35	45	59	68	74
2026	3	43	45	58	80
2027	1	19	26	49	75
2028	1	6	21	52	63
2029	4	18	31	61	66
2030	21	28	46	71	72
2031	10	13	41	61	76
2032	2	46	60	71	78
2033	6	9	16	57	60
2034	8	44	52	63	64
2035	2	14	30	59	64
2036	16	39	58	60	73
2037	1	2	12	16	56
2038	29	33	54	71	72
2039	14	39	45	66	73
2040	10	17	25	27	31
2041	2	4	12	16	73
2042	16	31	35	45	51
2043	2	9	17	19	49
2044	3	6	32	65	78
2045	2	7	47	54	72
2046	20	29	49	72	74
2047	4	30	43	50	62
2048	5	12	38	72	77
2049	27	40	44	58	76
2050	14	27	30	32	50
2051	16	45	61	75	76
2052	17	37	40	63	79
2053	16	24	38	39	77
2054	11	29	30	34	66
2055	20	39	48	64	65
2056	5	40	43	65	72
2057	11	23	41	42	77
2058	11	17	48	52	77
2059	4	7	60	68	72
2060	15	16	40	51	69
2061	20	36	44	52	63
2062	9	10	22	34	72
2063	1	4	8	70	79
2064	8	20	38	71	79
2065	3	10	11	13	28
2066	8	29	45	51	72
2067	15	18	58	59	60
2068	18	41	45	68	72
2069	5	7	25	36	63
2070	3	35	52	53	66
2071	13	14	53	54	64
2072	17	32	34	48	76
2073	40	55	73	75	78
2074	7	23	30	50	79
2075	11	28	33	49	52
2076	19	20	55	60	74
2077	2	42	46	50	78
2078	9	13	41	58	60
2079	4	11	30	34	62
2080	3	6	30	47	72
2081	16	17	48	73	80
2082	7	20	25	36	73
2083	2	13	22	34	61
2084	15	47	51	68	72
2085	1	27	30	40	71
2086	15	45	63	64	66
2087	10	33	59	60	80
2088	42	47	52	69	70
2089	31	34	54	56	71
2090	23	44	45	51	68
2091	1	2	4	9	67
2092	14	28	48	67	69
2093	7	11	46	53	55
2094	4	56	57	62	65
2095	26	34	37	44	45
2096	3	51	54	55	57
2097	37	40	43	50	58
2098	7	13	17	32	61
2099	1	27	32	57	77
2100	4	6	7	62	74
2101	9	42	60	72	79
2102	5	11	35	44	78
2103	1	5	8	25	80
2104	9	28	36	41	79
2105	2	20	27	56	61
2106	41	55	62	75	80
2107	14	61	62	64	72
2108	47	51	61	62	75
2109	13	33	40	57	69
2110	10	12	52	65	70
2111	17	49	50	51	78
2112	49	61	64	71	75
2113	1	4	20	58	74
2114	20	21	64	74	76
2115	7	21	60	72	75
2116	16	18	26	37	80
2117	19	35	45	60	77
2118	14	17	21	25	42
2119	16	44	46	51	66
2120	2	13	20	38	50
2121	9	25	37	40	70
2122	7	19	40	63	80
2123	12	22	31	36	77
2124	27	44	54	70	73
2125	4	6	11	56	67
2126	2	47	58	66	68
2127	5	26	27	46	59
2128	9	17	46	47	72
2129	16	48	53	61	74
2130	6	37	41	52	55
2131	13	35	60	63	73
2132	3	13	22	39	69
2133	14	22	38	39	80
2134	13	21	64	66	80
2135	7	10	40	45	49
2136	3	20	45	58	68
2137	9	13	58	69	72
2138	19	52	56	70	74
2139	46	53	72	77	79
2140	5	22	52	62	67
2141	13	15	21	52	72
2142	6	28	34	44	60
2143	1	20	51	62	74
2144	6	7	9	53	67
2145	6	8	37	46	53
2146	4	15	35	42	46
2147	7	29	40	41	53
2148	10	21	38	57	59
2149	6	38	42	60	67
2150	15	28	49	61	80
2151	22	41	58	60	78
2152	1	18	20	50	70
2153	29	36	44	54	59
2154	7	68	71	74	76
2155	8	18	34	35	67
2156	2	10	32	43	77
2157	2	4	39	72	73
2158	10	14	29	47	65
2159	16	30	34	43	51
2160	3	22	63	68	74
2161	49	59	68	75	77
2162	2	18	35	50	54
2163	5	15	17	42	60
2164	22	41	48	71	76
2165	16	45	46	50	77
2166	22	25	28	37	56
2167	3	4	12	70	78
2168	1	32	38	53	77
2169	15	25	26	30	78
2170	1	31	39	48	56
2171	21	52	60	68	73
2172	13	24	61	62	78
2173	20	48	52	79	80
2174	2	4	30	37	44
2175	5	22	27	47	73
2176	25	42	44	64	69
2177	1	52	59	69	72
2178	10	45	61	62	80
2179	1	4	17	54	55
2180	5	20	26	59	61
2181	7	45	62	63	69
2182	10	34	58	75	80
2183	16	39	50	70	76
2184	2	3	16	18	63
2185	4	15	20	64	80
2186	24	25	48	52	79
2187	4	25	35	44	62
2188	8	12	26	36	59
2189	22	36	41	68	77
2190	20	40	57	70	79
2191	16	29	32	39	70
2192	23	24	32	42	73
2193	10	19	41	47	54
2194	2	5	19	31	62
2195	19	22	29	30	32
2196	17	20	41	64	76
2197	1	3	4	33	49
2198	6	17	66	67	75
2199	10	12	51	65	71
2200	3	9	37	64	68
2201	33	43	45	65	72
2202	17	37	68	74	80
2203	1	13	42	56	65
2204	2	18	41	68	70
2205	4	25	50	59	72
2206	1	3	28	48	69
2207	5	10	19	29	50
2208	9	17	44	50	63
2209	1	28	50	63	74
2210	12	33	34	40	67
2211	6	49	51	54	56
2212	13	20	31	62	79
2213	15	43	68	74	75
2214	10	14	15	63	73
2215	29	40	41	57	70
2216	8	9	33	39	51
2217	9	18	27	51	56
2218	9	21	39	47	75
2219	14	30	51	53	71
2220	12	31	42	46	56
2221	14	19	30	72	76
2222	6	9	19	46	67
2223	6	13	39	43	65
