Concurso	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7
871	2	3	4	7	11	25	29
872	6	8	17	18	24	26	30
873	3	6	7	9	17	23	25
874	9	11	16	18	23	27	28
875	4	5	13	18	19	21	24
876	4	6	12	19	24	25	29
877	4	9	10	11	13	19	21
878	1	5	9	10	22	24	25
879	3	4	5	7	15	24	26
880	1	2	5	6	9	23	29
881	2	6	9	10	17	25	27
882	7	8	11	14	27	30	31
883	6	9	15	18	20	24	30
884	5	10	14	18	24	26	29
885	3	12	16	17	20	27	30
886	1	6	8	11	15	18	22
887	5	12	13	18	21	28	29
888	8	14	17	18	21	22	27
889	3	4	7	14	18	20	31
890	7	9	15	19	25	27	30
891	1	4	10	11	14	28	30
892	6	7	14	15	20	21	27
893	4	6	9	16	27	28	31
894	7	9	11	16	18	19	21
895	1	2	7	11	14	15	30
896	2	7	10	11	24	25	28
897	6	9	15	18	19	20	21
898	2	4	7	8	11	21	22
899	5	6	8	18	23	24	29
900	6	9	10	13	14	16	22
901	2	4	10	14	16	22	29
902	3	11	13	14	18	21	27
903	2	4	5	10	11	15	23
904	2	4	5	11	16	25	27
905	3	6	11	12	13	20	29
906	2	10	12	13	22	29	31
907	2	3	7	10	13	15	21
908	10	13	14	17	18	20	31
909	6	7	8	25	26	30	31
910	1	7	15	17	26	27	28
911	1	2	10	13	25	29	30
912	4	10	11	14	15	20	31
913	8	12	14	17	19	26	27
914	1	3	9	14	22	23	29
915	2	5	22	24	25	27	30
916	2	4	6	14	17	25	28
917	1	14	18	19	20	21	27
918	2	10	12	13	15	25	29
919	3	10	17	20	24	26	28
920	11	13	20	21	23	24	27
921	7	11	12	19	20	21	23
922	7	8	13	17	26	27	28
923	5	9	10	11	17	21	26
924	3	10	11	12	19	28	31
925	3	4	10	12	16	18	26
926	7	8	18	19	23	24	27
927	2	3	7	11	15	19	24
928	1	13	15	23	24	28	29
929	2	4	5	12	16	26	27
930	1	5	10	18	22	24	29
931	3	11	18	20	26	28	30
932	1	6	13	20	23	25	27
933	13	23	24	25	28	29	31
934	1	4	16	18	23	28	30
935	4	6	11	17	24	27	28
936	18	20	23	24	25	26	31
937	5	9	10	14	20	23	27
938	4	8	19	20	21	24	29
939	1	4	7	11	12	13	20
940	1	5	6	10	15	19	23
941	6	7	10	11	13	28	29
942	3	4	8	9	15	20	23
943	7	8	15	16	20	26	27
944	4	9	10	28	29	30	31
945	3	6	14	15	23	26	29
946	4	5	9	14	25	27	28
947	4	10	11	12	13	15	25
948	5	10	20	22	23	30	31
949	1	5	6	8	15	16	25
950	5	8	11	19	25	30	31
951	3	5	12	18	19	24	30
952	1	8	10	16	20	22	27
953	9	13	14	15	16	20	31
954	3	9	10	14	19	24	29
955	4	9	17	18	23	27	28
956	6	10	13	15	16	21	29
957	11	14	16	21	23	24	27
958	7	9	11	13	15	16	26
959	1	5	7	8	9	19	22
960	1	5	13	19	20	22	30
961	3	6	8	9	17	30	31
962	5	13	16	17	26	28	29
963	2	3	6	20	21	27	31
964	2	7	11	17	19	28	31
965	2	7	13	16	21	24	29
966	4	8	9	14	17	18	25
967	6	8	9	12	14	27	31
968	4	9	14	18	23	26	28
969	2	8	9	10	18	21	25
970	7	10	12	15	19	20	25
971	1	4	5	9	16	18	29
972	4	6	17	19	27	30	31
973	4	6	17	18	20	25	26
974	2	3	7	8	9	11	20
975	1	8	18	24	25	27	31
976	1	9	11	14	16	22	25
977	4	5	15	17	22	26	29
978	1	2	4	12	17	27	28
979	6	10	12	13	16	20	23
980	8	13	20	21	25	26	31
981	1	2	4	8	10	12	28
982	4	5	13	16	23	25	28
983	1	3	5	6	8	17	19
984	11	14	15	20	22	25	26
985	7	12	18	20	21	28	31
986	1	3	5	14	20	24	26
987	5	7	17	21	27	30	31
988	6	13	14	23	25	28	30
989	3	10	23	24	25	26	31
990	2	6	11	14	16	23	26
991	6	12	15	21	25	28	30
992	2	7	10	24	27	28	29
993	8	10	12	13	14	17	18
994	1	6	7	13	19	26	29
995	5	6	8	10	16	18	29
996	1	5	6	7	12	17	25
997	2	3	7	17	19	21	29
998	2	6	10	11	21	26	30
999	3	6	15	16	18	23	30
1000	4	13	16	18	22	27	28
1001	3	10	11	15	16	20	27
1002	4	5	10	12	17	24	29
1003	4	8	11	18	20	23	24
1004	2	10	13	19	20	27	30
1005	5	10	11	12	14	17	24
1006	3	9	17	20	21	24	27
1007	1	6	13	19	27	28	31
1008	1	3	15	16	17	20	29
1009	4	10	17	19	21	22	30
1010	2	21	22	23	26	27	31
1011	4	8	10	13	20	21	28
1012	6	7	8	9	13	16	19
1013	5	8	10	11	16	29	30
1014	1	2	9	18	21	26	30
1015	4	8	14	20	21	23	27
1016	1	8	17	24	27	29	31
1017	5	12	16	18	22	24	29
1018	9	11	21	24	26	30	31
1019	2	3	12	15	16	17	20
1020	5	14	17	20	22	26	27
1021	1	2	4	8	23	26	28
1022	4	5	7	11	12	13	29
1023	4	9	12	15	17	29	31
1024	4	5	9	10	12	13	25
1025	2	9	10	12	29	30	31
1026	7	8	16	24	28	30	31
1027	6	8	14	17	20	29	31
1028	8	14	23	24	26	28	30
1029	3	15	17	20	21	24	31
1030	3	4	7	9	10	27	28
1031	4	5	14	18	24	27	31
1032	5	6	8	9	12	23	31
1033	2	11	15	16	20	24	29
1034	5	7	8	15	21	23	26
1035	7	9	10	14	21	23	28
1036	2	10	12	14	15	20	21
1037	2	5	12	19	25	28	30
1038	9	11	14	19	21	26	31
1039	1	5	7	10	19	21	22
1040	1	4	6	21	24	27	30
1041	6	9	10	14	20	22	23
1042	6	8	16	27	28	29	31
1043	3	7	8	9	12	18	29
1044	3	12	14	18	24	27	28
1045	1	12	15	20	22	28	29
1046	3	4	7	13	16	18	28
1047	4	7	13	15	17	18	19
1048	10	11	15	23	29	30	31
1049	4	16	19	24	26	27	29
1050	5	9	18	20	21	30	31
1051	3	6	8	15	18	29	30
1052	10	16	18	20	22	25	30
1053	4	7	9	12	23	25	30
1054	4	15	17	19	23	27	30
1055	4	5	6	13	15	20	22
1056	2	3	5	11	12	20	29
1057	6	9	16	18	28	29	30
1058	1	6	15	16	19	21	25
1059	1	4	10	12	17	21	27
1060	2	10	11	15	25	26	30
1061	2	13	14	17	18	19	25
1062	3	5	10	13	23	28	31
1063	5	7	8	19	21	23	25
1064	9	10	19	22	24	28	31
1065	10	11	14	15	22	28	29
1066	5	7	16	17	20	24	30
1067	1	2	11	16	18	19	27
1068	7	10	11	17	20	24	28
1069	7	8	14	15	22	26	30
1070	3	13	14	17	20	29	30
1071	2	3	4	19	25	26	28
1072	2	4	5	9	14	23	26
1073	7	14	17	21	26	27	29
1074	11	13	14	16	22	25	27
1075	8	15	20	21	22	25	26
1076	1	3	7	10	23	27	31
1077	2	3	4	13	19	20	24
1078	15	18	25	27	29	30	31
1079	1	5	6	19	26	29	31
1080	1	7	9	17	20	21	27
1081	5	9	14	22	23	26	29
1082	5	10	12	13	14	26	27
1083	3	10	16	19	21	23	26
1084	6	9	17	18	20	24	31
1085	8	9	10	13	19	27	31
1086	14	16	21	23	24	29	31
1087	5	8	22	24	25	26	29
1088	6	7	11	19	24	25	27
1089	7	13	14	15	21	22	30
1090	4	9	10	19	20	24	29
1091	1	6	7	12	19	21	22
1092	1	8	12	17	20	24	31
1093	9	12	13	14	15	17	21
1094	3	7	8	14	19	26	28
1095	1	5	8	12	22	25	26
1096	3	8	18	19	24	30	31
1097	7	14	16	17	27	29	30
1098	4	6	12	20	27	30	31
1099	1	3	4	8	13	23	25
1100	7	12	20	22	24	27	30
1101	3	13	14	19	22	24	26
1102	2	7	10	13	15	22	28
1103	1	8	14	15	19	24	28
